ID;Estrella;Fecha;Magn;Obs;Comp1;Comp2;Carta;Notas
217;U Vul;2457556.4083;7.2;na;73;70;X16241DGS;na
218;SU Cyg;2457556.4104;7.2;na;72;69;X16242DCF;na
219;T Vul;2457556.4160;6.3;na;64;56;X16242DCD;na
220;X Cyg;2457556.4201;7.1;na;72;69;X16238ADT;na
221;S Sge;2457556.4236;5.3;na;55;51;X16242DCE;na
222;bet Lyr;2457556.4257;3.8;na;38;na;2008;na
223;RT Cyg;2457556.4451;8.9;na;89;88;X16156CI;na
224;AF Cyg;2457556.4465;7.2;na;72;69;X16156CJ;na
225;U Cyg;2457556.4507;9.2;na;88;97;X16156CX;na
226;W Cyg;2457556.4604;6.1;na;65;56;X16231NC;na
227;R Vul;2457556.4639;<9.7;na;97;na;X16231MZ;na
228;R Sge;2457556.4681;8.5;na;85;89;X16231KH;na
229;U Del;2457556.4708;7.0;na;71;68;X16231MQ;na
230;EU Del;2457556.4729;6.5;na;64;68;X16231MS;na
231;SU Cyg;2457559.4222;7.2;na;72;69;X16242DCF;na
232;U Vul;2457559.4326;7.3;na;73;74;X16241DGS;na
233;S Sge;2457559.4347;5.3;na;55;51;X16242DCE;na
234;T Vul;2457559.4361;6.0;na;64;na;X16242DCD;na
235;X Cyg;2457559.4396;6.6;na;66;62;X16238ADT;na
236;bet Lyr;2457559.4410;3.3;na;32;34;2008;na
237;S Sge;2457560.4889;5.8;na;58;55;X16242DCE;na
238;SU Cyg;2457560.4965;7.2;na;72;69;X16242DCF;na
239;X Cyg;2457560.4965;6.5;na;65;66;X16238ADT;na
240;T Vul;2457560.4993;6.1;na;64;56;X16242DCD;na
241;U Vul;2457560.5035;7.3;na;73;70;X16241DGS;na
242;U Vul;2457561.4132;7.5;na;76;74;X16241DGS;na
243;T Vul;2457561.4167;5.6;na;56;na;X16242DCD;na
244;SU Cyg;2457561.4222;6.4;na;65;62;X16242DCF;na
245;S Sge;2457561.4243;5.8;na;58;55;X16242DCE;na
246;bet Lyr;2457561.4271;3.3;na;32;34;2008;na
247;X Cyg;2457561.4319;6.0;na;59;62;X16238ADT;na
248;U Del;2457561.4417;7.1;na;71;68;X16231MQ;na
